,class,category
0,1,trade
1,1,grain
2,1,"crude,nat-gas"
3,4,"corn,grain,rice,rubber,sugar,tin,trade"
4,1,"palm-oil,veg-oil"
5,3,ship
6,3,"coffee,lumber,palm-oil,rubber,veg-oil"
7,1,"grain,wheat"
8,3,gold
9,1,acq
10,3,tin
11,3,"interest,money-fx"
12,3,"acq,copper"
13,4,ipi
14,1,"carcass,corn,grain,livestock,oilseed,rice,soybean,trade"
15,3,earn
16,3,earn
17,1,"interest,money-fx"
18,1,"bop,trade"
19,3,"gas,lead"
20,3,acq
21,4,jobs
22,3,earn
23,3,earn
24,3,earn
25,0,earn
26,3,tin
27,1,trade
28,4,zinc
29,2,sugar
30,2,sugar
31,3,acq
32,1,"interest,money-fx"
33,1,"cpi,gnp"
34,3,"oilseed,palm-oil,soy-oil,soybean,veg-oil"
35,3,earn
36,3,acq
37,4,earn
38,1,trade
39,3,acq
40,1,acq
41,3,earn
42,1,trade
43,1,"dlr,money-fx,yen"
44,1,cpi
45,1,"interest,money-fx"
46,3,acq
47,2,sugar
48,2,sugar
49,3,earn
50,4,nickel
51,3,earn
52,1,"dlr,money-fx"
53,0,acq
54,4,earn
55,0,earn
56,3,acq
57,0,acq
58,0,acq
59,1,groundnut
60,0,earn
61,3,ship
62,0,earn
63,3,ship
64,0,earn
65,0,earn
66,0,earn
67,1,"interest,money-fx"
68,0,earn
69,4,earn
70,0,earn
71,0,earn
72,0,earn
73,0,earn
74,1,jobs
75,4,earn
76,0,acq
77,0,earn
78,3,acq
79,0,earn
80,4,earn
81,0,earn
82,2,sugar
83,1,money-fx
84,2,sugar
85,4,earn
86,0,earn
87,0,earn
88,0,earn
89,0,acq
90,3,earn
91,3,acq
92,4,earn
93,0,earn
94,3,earn
95,3,earn
96,2,sugar
97,0,earn
98,2,sugar
99,3,earn
